"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"97","A6NMY6","B7ZW38",1,1,"ANXA2P2","HNRNPCL3","poor",0.396,0.244,0
"98","A6NMY6","O60812",1,1,"ANXA2P2","HNRNPCL1","poor",0.273,0.521,0
"99","A6NMY6","P07910",5,2,"ANXA2P2","HNRNPC","rich",0.533,0.373,0.07
"100","A6NMY6","P0DMR1",1,1,"ANXA2P2","HNRNPCL4","poor",0.396,0.244,0
"101","A6NMY6","P31949",5,3,"ANXA2P2","S100A11","rich",0.594,0.499,0.117
"102","A6NMY6","P60903",5,2,"ANXA2P2","S100A10","poor",0.695,0.518,0.133
"103","A6NMY6","Q6P2Q9",2,1,"ANXA2P2","PRPF8","poor",0.373,0.354,0.046
"104","A6NMY6","Q86SE5",4,1,"ANXA2P2","RALYL","poor",0.309,0.521,0
"105","B2RPK0","P04406",1,1,"HMGB1P1","GAPDH","poor",0,0,0
"106","B2RXH8","P07355",1,1,"HNRNPCL2","ANXA2","poor",0.355,0.666,0
"107","B2RXH8","P08670",3,1,"HNRNPCL2","VIM","poor",0.359,0.698,0
"108","B2RXH8","Q14684",1,1,"HNRNPCL2","RRP1B","poor",0.618,0.825,0
"109","B2RXH8","Q5SRE5",1,1,"HNRNPCL2","NUP188","poor",0.496,0.224,0
"110","B2RXH8","Q9UKM9",2,1,"HNRNPCL2","RALY","poor",0.76,0.83,0
"111","B5ME19","P60228",2,2,"EIF3CL","EIF3E","rich",0.636,0.931,0.687
"112","B5ME19","P62277",7,2,"EIF3CL","RPS13","rich",0.411,0.8,0.667
"113","B5ME19","Q14152",2,1,"EIF3CL","EIF3A","poor",0.722,0.882,0.708
"114","B5ME19","Q6DD88",1,1,"EIF3CL","ATL3","poor",0.378,0.559,0.172
"115","B5ME19","Q9H9B1",2,1,"EIF3CL","EHMT1","poor",0.307,0.434,0.223
"116","B7ZW38","P07355",1,1,"HNRNPCL3","ANXA2","poor",1,1,0
"117","B7ZW38","P08670",3,1,"HNRNPCL3","VIM","poor",0.671,0.847,0
"118","B7ZW38","Q14684",1,1,"HNRNPCL3","RRP1B","poor",1,1,0
"119","B7ZW38","Q5SRE5",1,1,"HNRNPCL3","NUP188","poor",0.721,0.134,0
"120","B7ZW38","Q9UKM9",2,1,"HNRNPCL3","RALY","poor",1,1,0
"121","E9PAV3","P06744",1,1,"NACA","GPI","poor",0.495,0.425,0.105
"122","E9PAV3","P20290",2,2,"NACA","BTF3","poor",0.977,0.741,0.663
"123","E9PAV3","Q14914",1,1,"NACA","PTGR1","poor",0.689,0.297,0.048
"124","E9PAV3","Q7Z4V5",1,1,"NACA","HDGFL2","poor",0.95,0.458,0.073
"125","E9PAV3","Q96K17",5,2,"NACA","BTF3L4","poor",0,0.788,0
"126","O00154","P18621",1,1,"ACOT7","RPL17","poor",0.754,0.433,0.23
"127","O00159","P0DP23",2,1,"MYO1C","CALM1","poor",0.653,0.502,0.26
"128","O00159","P0DP24",2,1,"MYO1C","CALM2","poor",0.637,0.511,0.185
"129","O00159","P0DP25",2,1,"MYO1C","CALM3","poor",0.612,0.535,0.184
