"","Protein1","Protein2","Spectra_Count","Site_Count","Gene1","Gene2","Context","CC","MF","BP"
"2516","P35579","Q99615",2,1,"MYH9","DNAJC7","poor",0.667,0.518,0.223
"2517","P35579","Q9BXJ9",2,1,"MYH9","NAA15","poor",0.629,0.565,0.299
"2518","P35579","Q9H694",1,1,"MYH9","BICC1","poor",1,1,0.17
"2519","P35579","Q9UBU8",2,1,"MYH9","MORF4L1","poor",0.373,0.527,0.257
"2520","P35579","Q9Y2D5",3,1,"MYH9","AKAP2","poor",0,0,0
"2521","P35580","P60660",8,1,"MYH10","MYL6","poor",0.71,0.593,0.214
"2522","P35580","Q13206",1,1,"MYH10","DDX10","poor",1,0.596,0.13
"2523","P35606","P51648",1,1,"COPB2","ALDH3A2","poor",0.751,0.394,0.128
"2524","P35609","P62805",3,1,"ACTN2","H4C1","poor",0.505,0.598,0.22
"2525","P35613","P53985",3,2,"BSG","SLC16A1","poor",0.737,0.404,0.158
"2526","P35613","Q03701",1,1,"BSG","CEBPZ","poor",0.38,0.238,0.12
"2527","P35659","Q02878",1,1,"DEK","RPL6","poor",0.562,0.852,0.526
"2528","P35749","P60660",8,1,"MYH11","MYL6","poor",0.768,0.786,0.405
"2529","P35749","P60709",1,1,"MYH11","ACTB","poor",0.49,0.655,0.162
"2530","P35749","P62736",1,1,"MYH11","ACTA2","poor",0.627,0.552,0.201
"2531","P35749","P63261",1,1,"MYH11","ACTG1","poor",0.579,0.692,0.26
"2532","P35749","P63267",1,1,"MYH11","ACTG2","poor",0.728,0.458,0.124
"2533","P35749","P68032",1,1,"MYH11","ACTC1","poor",0.627,0.699,0.491
"2534","P35749","P68133",1,1,"MYH11","ACTA1","poor",0.65,0.731,0.394
"2535","P35749","Q9Y266",1,1,"MYH11","NUDC","poor",0.617,0.585,0.195
"2536","P35908","P42285",1,1,"KRT2","MTREX","poor",0.531,0.44,0.17
"2537","P35908","P51610",1,1,"KRT2","HCFC1","poor",0.633,0.57,0.232
"2538","P35908","Q03989",1,1,"KRT2","ARID5A","poor",0.463,0.482,0.219
"2539","P35908","Q04695",64,13,"KRT2","KRT17","rich",0.767,0.836,0.523
"2540","P35998","P43686",3,1,"PSMC2","PSMC4","poor",0.856,1,0.736
"2541","P35998","P62191",3,1,"PSMC2","PSMC1","poor",0.856,0.925,0.826
"2542","P35998","Q16401",7,2,"PSMC2","PSMD5","poor",0.785,1,0.103
"2543","P35998","Q99460",1,1,"PSMC2","PSMD1","poor",0.906,0.454,0.685
"2544","P36578","P47914",1,1,"RPL4","RPL29","poor",0.769,0.808,0.808
"2545","P36578","P50914",10,6,"RPL4","RPL14","rich",0.794,0.951,0.718
"2546","P36578","P62910",3,1,"RPL4","RPL32","poor",0.756,0.865,1
"2547","P36578","Q02543",23,7,"RPL4","RPL18A","poor",0.769,1,1
"2548","P36578","Q02878",3,3,"RPL4","RPL6","rich",0.862,0.919,0.741
"2549","P36578","Q13435",1,1,"RPL4","SF3B2","poor",0.56,0.845,0.286
"2550","P36578","Q96SU4",1,1,"RPL4","OSBPL9","poor",0.694,0.51,0.172
"2551","P36873","P41236",2,1,"PPP1CC","PPP1R2","poor",0,0.411,0.412
"2552","P36873","Q6NXS1",2,1,"PPP1CC","PPP1R2B","poor",0,0.463,0.381
"2553","P37108","P49458",16,6,"SRP14","SRP9","rich",0.663,0.834,0.732
"2554","P37108","Q9HAV7",1,1,"SRP14","GRPEL1","poor",0.493,0.613,0.638
"2555","P37802","P51991",3,2,"TAGLN2","HNRNPA3","poor",0.35,0.632,0.064
"2556","P37802","Q32P51",2,1,"TAGLN2","HNRNPA1L2","poor",0.486,0.269,0.057
"2557","P37802","Q9P225",2,1,"TAGLN2","DNAH2","poor",0.401,0.415,0.174
"2558","P37837","P46100",1,1,"TALDO1","ATRX","poor",0.559,0.426,0.137
"2559","P37837","Q9HAU5",1,1,"TALDO1","UPF2","poor",0.841,0.519,0.15
"2560","P38919","Q04637",1,1,"EIF4A3","EIF4G1","poor",0.771,0.752,0.378
"2561","P38919","Q9H307",2,1,"EIF4A3","PNN","poor",0.715,0.651,0.276
"2562","P39019","P62249",14,1,"RPS19","RPS16","poor",0.939,0.891,0.578
"2563","P39019","P62269",2,1,"RPS19","RPS18","poor",0.938,0.887,0.289
"2564","P39019","P62851",7,3,"RPS19","RPS25","poor",0.891,0.891,0.552
"2565","P39019","Q02952",1,1,"RPS19","AKAP12","poor",0.661,0.68,0.201
"2566","P39019","Q14978",1,1,"RPS19","NOLC1","poor",0.678,0.584,0.482
"2567","P39019","Q8WWL7",1,1,"RPS19","CCNB3","poor",0.561,0.587,0.203
"2568","P39019","Q9NR30",3,1,"RPS19","DDX21","poor",0.731,0.674,0.457
"2569","P39023","Q8IVF2",1,1,"RPL3","AHNAK2","poor",0.632,1,0.263
"2570","P39880","P60866",1,1,"CUX1","RPS20","poor",0.683,0.334,0.283
"2571","P40222","Q9NUQ3",3,1,"TXLNA","TXLNG","poor",0.675,0.829,0.209
"2572","P40227","P49368",14,4,"CCT6A","CCT3","rich",0.854,0.977,0.949
"2573","P40227","P50990",57,9,"CCT6A","CCT8","rich",0.703,0.909,0.949
"2574","P40227","Q9UIG0",4,2,"CCT6A","BAZ1B","poor",0.336,0.504,0.285
"2575","P40261","P53621",1,1,"NNMT","COPA","poor",1,0.13,0.134
"2576","P40429","P50914",16,7,"RPL13A","RPL14","rich",0.727,0.767,0.44
"2577","P40429","P55809",1,1,"RPL13A","OXCT1","poor",0.417,0.128,0.134
"2578","P40429","P62424",1,1,"RPL13A","RPL7A","poor",0.928,0.767,0.455
"2579","P40429","Q96AC1",1,1,"RPL13A","FERMT2","poor",0.689,0.221,0.197
"2580","P40429","Q9BTV4",1,1,"RPL13A","TMEM43","poor",0.474,0.276,0.256
"2581","P40429","Q9UNH7",8,3,"RPL13A","SNX6","poor",0.644,0.233,0.304
"2582","P40818","P62805",1,1,"USP8","H4C1","poor",0.464,0.444,0.177
"2583","P40818","Q5RI15",1,1,"USP8","COX20","poor",0.42,1,0.27
"2584","P41091","Q9Y570",1,1,"EIF2S3","PPME1","poor",0.365,0.544,0.32
"2585","P41221","P49454",1,1,"WNT5A","CENPF","poor",0.413,0.618,0.326
"2586","P41236","P62136",2,1,"PPP1R2","PPP1CA","poor",0,0.343,0.45
"2587","P41236","P62140",2,1,"PPP1R2","PPP1CB","poor",0,0.328,0.512
"2588","P41250","Q14141",2,1,"GARS1","SEPTIN6","poor",0.438,0.576,0.061
"2589","P41250","Q14738",1,1,"GARS1","PPP2R5D","poor",0.607,0.45,0.194
"2590","P41250","Q4G0J3",1,1,"GARS1","LARP7","poor",0.599,0.452,0.239
"2591","P41250","Q9Y3B8",1,1,"GARS1","REXO2","poor",0.73,0.264,0.534
"2592","P41252","P61978",1,1,"IARS1","HNRNPK","poor",0.731,0.642,0.281
"2593","P42166","Q5VTR2",1,1,"TMPO","RNF20","poor",0.665,0.545,0
"2594","P42166","Q8NCA5",1,1,"TMPO","FAM98A","poor",0.624,0.709,0
"2595","P42166","Q9NU22",1,1,"TMPO","MDN1","poor",0.608,0.591,0
"2596","P42166","Q9UQE7",1,1,"TMPO","SMC3","poor",0.731,0.588,0
"2597","P42167","Q5VTR2",1,1,"TMPO","RNF20","poor",0.665,0.545,0
"2598","P42167","Q8NCA5",1,1,"TMPO","FAM98A","poor",0.624,0.709,0
"2599","P42167","Q9NU22",1,1,"TMPO","MDN1","poor",0.608,0.591,0
"2600","P42167","Q9UKJ3",1,1,"TMPO","GPATCH8","poor",0.685,0.741,0
"2601","P42167","Q9UQE7",1,1,"TMPO","SMC3","poor",0.731,0.588,0
"2602","P42285","P48668",1,1,"MTREX","KRT6C","poor",0.334,0.421,0.124
"2603","P42285","P53999",1,1,"MTREX","SUB1","poor",0.75,0.581,0.298
"2604","P42285","Q01546",1,1,"MTREX","KRT76","poor",0.59,0.421,0.116
"2605","P42285","Q5XKE5",1,1,"MTREX","KRT79","poor",0.329,0.467,0.098
"2606","P42285","Q9NSB2",1,1,"MTREX","KRT84","poor",0.329,0.158,0.089
"2607","P42345","P99999",1,1,"MTOR","CYCS","poor",0.659,0.427,0.229
"2608","P42677","P62081",5,1,"RPS27","RPS7","poor",0.835,0.762,0.59
"2609","P42677","Q32P51",1,1,"RPS27","HNRNPA1L2","poor",0.502,0.741,0.209
"2610","P42695","Q15651",1,1,"NCAPD3","HMGN3","poor",0.69,0.647,0.356
"2611","P42695","Q5QNW6",1,1,"NCAPD3","H2BC18","poor",0.619,0.449,0
"2612","P42695","Q93079",1,1,"NCAPD3","H2BC9","poor",0.598,0.649,0.306
"2613","P42696","P57053",1,1,"RBM34","H2BC12L","poor",0.673,0.46,0.029
"2614","P42696","P58876",1,1,"RBM34","H2BC5","poor",0.676,0.417,0
"2615","P42696","P62807",1,1,"RBM34","H2BC4","poor",0.63,0.41,0.097
"2616","P42696","Q16778",1,1,"RBM34","H2BC21","poor",0.63,0.438,0.097
"2617","P42696","Q5QNW6",2,2,"RBM34","H2BC18","rich",0.676,0.432,0
"2618","P42696","Q8IYD1",1,1,"RBM34","GSPT2","poor",0.328,0.579,0.239
"2619","P42696","Q8N257",1,1,"RBM34","H2BU1","poor",0,0,0
"2620","P42696","Q8NC51",2,1,"RBM34","SERBP1","poor",0.465,0.487,0.207
"2621","P42696","Q93079",2,2,"RBM34","H2BC9","rich",0.619,0.356,0.097
"2622","P42696","Q99877",1,1,"RBM34","H2BC15","poor",0.676,0.46,0.097
"2623","P42696","Q99879",1,1,"RBM34","H2BC14","poor",0.676,0.46,0.097
"2624","P42696","Q99880",1,1,"RBM34","H2BC13","poor",0.676,0.438,0.097
"2625","P42704","Q12874",4,1,"LRPPRC","SF3A3","poor",0.634,0.733,0.265
"2626","P42766","P52597",1,1,"RPL35","HNRNPF","poor",0.711,0.707,0.445
"2627","P42766","P62081",1,1,"RPL35","RPS7","poor",0.741,0.715,0.494
"2628","P42766","P62750",1,1,"RPL35","RPL23A","poor",0.841,0.717,0.767
"2629","P42766","Q8IXM2",1,1,"RPL35","BAP18","poor",0,0,0
"2630","P42766","Q9UQ80",1,1,"RPL35","PA2G4","poor",0.712,0.57,0.524
"2631","P42858","Q6PKG0",1,1,"HTT","LARP1","poor",0.602,0.609,0.325
"2632","P43243","P46821",1,1,"MATR3","MAP1B","poor",0.361,0.655,0.176
"2633","P43246","Q15459",1,1,"MSH2","SF3A1","poor",0.694,0.462,0.217
"2634","P43304","P62195",1,1,"GPD2","PSMC5","poor",0.488,0.178,0.13
"2635","P43487","Q15149",1,1,"RANBP1","PLEC","poor",0.539,0.597,0.196
"2636","P43487","Q4V328",1,1,"RANBP1","GRIPAP1","poor",0.547,0.699,0.261
"2637","P43686","P62195",3,1,"PSMC4","PSMC5","poor",0.895,0.881,0.524
"2638","P45880","Q9NR30",1,1,"VDAC2","DDX21","poor",0.674,0.389,0.132
"2639","P45880","Q9Y277",1,1,"VDAC2","VDAC3","poor",0.811,0.776,0.342
"2640","P45973","P68431",1,1,"CBX5","H3C1","poor",0.696,0.588,0.48
"2641","P45973","P84243",1,1,"CBX5","H3-3A","poor",0.77,0.538,0.354
"2642","P45973","Q16695",1,1,"CBX5","H3-4","poor",0.703,0.583,0.449
"2643","P45973","Q5TEC6",1,1,"CBX5","H3-7","poor",0.654,0.388,0
"2644","P45973","Q6NXT2",1,1,"CBX5","H3-5","poor",0.693,0.592,0.261
"2645","P45973","Q71DI3",1,1,"CBX5","H3C15","poor",0.623,0.583,0.449
"2646","P45973","Q8WZ42",1,1,"CBX5","TTN","poor",0.464,0.56,0.182
"2647","P46013","P78527",1,1,"MKI67","PRKDC","poor",0.711,0.654,0.224
"2648","P46013","Q14568",2,1,"MKI67","HSP90AA2P","poor",0.4,0.539,0.335
"2649","P46013","Q32P51",1,1,"MKI67","HNRNPA1L2","poor",0.451,0.741,0.096
"2650","P46013","Q58FF8",2,1,"MKI67","HSP90AB2P","poor",0.4,0.539,0.335
"2651","P46063","P46939",1,1,"RECQL","UTRN","poor",0.661,0.409,0.069
"2652","P46087","Q9Y221",2,2,"NOP2","NIP7","rich",0.734,0.816,0.429
"2653","P46100","P60866",1,1,"ATRX","RPS20","poor",0.544,0.453,0.213
"2654","P46100","P68431",2,2,"ATRX","H3C1","poor",0.632,0.503,0.367
"2655","P46100","P84243",2,2,"ATRX","H3-3A","poor",0.737,0.477,0.273
"2656","P46100","Q16695",2,2,"ATRX","H3-4","poor",0.803,0.494,0.294
"2657","P46100","Q5TEC6",2,2,"ATRX","H3-7","poor",0.742,0.363,0
"2658","P46100","Q6NXT2",2,2,"ATRX","H3-5","poor",0.782,0.488,0.261
"2659","P46100","Q71DI3",2,2,"ATRX","H3C15","poor",0.684,0.494,0.294
"2660","P46459","Q7L014",1,1,"NSF","DDX46","poor",0.428,0.745,0.104
"2661","P46734","P50990",1,1,"MAP2K3","CCT8","poor",0.607,0.503,0.226
"2662","P46776","P46939",2,2,"RPL27A","UTRN","poor",0.67,0.583,0.052
"2663","P46777","Q7Z4V5",1,1,"RPL5","HDGFL2","poor",0.618,0.445,0.223
"2664","P46778","P63173",2,1,"RPL21","RPL38","poor",0.786,1,0.41
"2665","P46778","Q02878",2,2,"RPL21","RPL6","poor",0.85,0.919,0.741
"2666","P46779","Q6SJ93",1,1,"RPL28","FAM111B","poor",0.4,0.541,0.498
"2667","P46781","P55884",5,1,"RPS9","EIF3B","poor",0.661,0.743,0.592
"2668","P46781","P62701",7,1,"RPS9","RPS4X","poor",0.961,0.923,0.963
"2669","P46781","P62847",3,1,"RPS9","RPS24","poor",0.876,0.841,0.736
"2670","P46781","P68431",2,1,"RPS9","H3C1","poor",0.7,0.668,0.26
"2671","P46781","P84243",2,1,"RPS9","H3-3A","poor",0.67,0.545,0.212
"2672","P46781","Q16695",2,1,"RPS9","H3-4","poor",0.592,0.669,0.139
"2673","P46781","Q6NXT2",2,1,"RPS9","H3-5","poor",0.531,0.584,0.45
"2674","P46781","Q71DI3",2,1,"RPS9","H3C15","poor",0.613,0.669,0.139
"2675","P46781","Q8TD47",7,1,"RPS9","RPS4Y2","poor",0.488,0.858,0.623
"2676","P46781","Q9BY44",2,1,"RPS9","EIF2A","poor",0.607,0.684,0.631
"2677","P46782","P62263",4,1,"RPS5","RPS14","poor",0.934,0.885,0.783
"2678","P46782","P62851",19,4,"RPS5","RPS25","rich",0.832,0.962,0.798
"2679","P46782","P62857",1,1,"RPS5","RPS28","poor",0.892,0.962,0.835
"2680","P46782","Q13442",2,1,"RPS5","PDAP1","poor",0.535,0.845,0.188
"2681","P46783","P51532",1,1,"RPS10","SMARCA4","poor",0.646,0.502,0.168
"2682","P46783","P60866",2,1,"RPS10","RPS20","poor",0.863,0.863,0.808
"2683","P46783","Q16181",1,1,"RPS10","SEPTIN7","poor",0.582,0.588,0.057
"2684","P46783","Q96KB5",1,1,"RPS10","PBK","poor",0.697,0.36,0.182
"2685","P46821","P57053",2,2,"MAP1B","H2BC12L","rich",0.396,0.495,0.157
"2686","P46821","P58876",1,1,"MAP1B","H2BC5","poor",0.375,0.664,0
"2687","P46821","P60981",1,1,"MAP1B","DSTN","poor",0.407,0.676,0.247
"2688","P46821","P62807",2,2,"MAP1B","H2BC4","rich",0.391,0.678,0.137
"2689","P46821","Q16778",2,2,"MAP1B","H2BC21","rich",0.391,0.667,0.137
"2690","P46821","Q6DN03",1,1,"MAP1B","H2BC20P","poor",0,0,0
"2691","P46821","Q6DRA6",1,1,"MAP1B","H2BC19P","poor",0.231,0.495,0
"2692","P46821","Q8N257",1,1,"MAP1B","H2BU1","poor",0,0,0
"2693","P46821","Q93079",1,1,"MAP1B","H2BC9","poor",0.378,0.664,0.229
"2694","P46821","Q99877",1,1,"MAP1B","H2BC15","poor",0.375,0.495,0.229
"2695","P46821","Q99880",1,1,"MAP1B","H2BC13","poor",0.375,0.667,0.229
"2696","P46939","P53621",1,1,"UTRN","COPA","poor",0.594,0.609,0.239
"2697","P46939","P60842",1,1,"UTRN","EIF4A1","poor",0.665,0.407,0.076
"2698","P46939","Q14157",1,1,"UTRN","UBAP2L","poor",0.499,0.628,0.122
"2699","P46939","Q9NU22",1,1,"UTRN","MDN1","poor",0.664,0.553,0.068
"2700","P46940","P60953",3,1,"IQGAP1","CDC42","poor",0.747,0.539,0.367
"2701","P46940","P62304",2,1,"IQGAP1","SNRPE","poor",0.518,0.498,0.098
"2702","P46940","Q13435",1,1,"IQGAP1","SF3B2","poor",0.4,0.498,0.104
"2703","P46940","Q14203",1,1,"IQGAP1","DCTN1","poor",0.718,0.57,0.237
"2704","P46940","Q58FF7",1,1,"IQGAP1","HSP90AB3P","poor",0.579,0.448,0.209
"2705","P46940","Q96TA1",6,3,"IQGAP1","NIBAN2","rich",0.639,0.549,0.32
"2706","P47756","P52907",9,4,"CAPZB","CAPZA1","rich",0.746,1,0.515
"2707","P47756","P60709",7,1,"CAPZB","ACTB","poor",0.671,0.546,0.212
"2708","P47756","P63261",7,1,"CAPZB","ACTG1","poor",0.694,0.564,0.275
"2709","P47756","Q96MU7",1,1,"CAPZB","YTHDC1","poor",0.358,0.595,0.146
"2710","P47756","Q9BY32",1,1,"CAPZB","ITPA","poor",0.504,0.371,0.226
"2711","P47897","Q14914",3,1,"QARS1","PTGR1","poor",0.622,0.332,0.151
"2712","P47914","P50851",1,1,"RPL29","LRBA","poor",0.731,0.462,0.091
"2713","P47914","Q02878",1,1,"RPL29","RPL6","poor",0.806,0.855,0.641
"2714","P47914","Q09028",1,1,"RPL29","RBBP4","poor",0.464,0.409,0.238
"2715","P47914","Q9P258",1,1,"RPL29","RCC2","poor",0.666,0.496,0.076
"2716","P48163","Q14789",2,1,"ME1","GOLGB1","poor",0.752,0.405,0.16
"2717","P48444","P53618",3,1,"ARCN1","COPB1","poor",0.839,0.658,0.606
"2718","P48444","Q14643",1,1,"ARCN1","ITPR1","poor",0.618,0.373,0.205
"2719","P48634","P57053",1,1,"PRRC2A","H2BC12L","poor",0.697,0.585,0.161
"2720","P48634","P58876",1,1,"PRRC2A","H2BC5","poor",0.772,0.676,0
"2721","P48634","P62807",1,1,"PRRC2A","H2BC4","poor",0.762,0.722,0.094
"2722","P48634","Q16778",1,1,"PRRC2A","H2BC21","poor",0.762,0.711,0.094
"2723","P48634","Q6KC79",1,1,"PRRC2A","NIPBL","poor",0.711,0.53,0.837
"2724","P48634","Q9UPN4",1,1,"PRRC2A","CEP131","poor",0.549,0.689,0.388
"2725","P48643","P78371",30,7,"CCT5","CCT2","rich",0.83,0.851,0.864
"2726","P48643","Q99832",3,1,"CCT5","CCT7","poor",0.948,0.869,0.949
"2727","P48668","Q03989",1,1,"KRT6C","ARID5A","poor",0.319,0.479,0.133
"2728","P48668","Q04695",64,13,"KRT6C","KRT17","rich",0.749,0.871,0.652
"2729","P49207","P61353",2,1,"RPL34","RPL27","poor",0.846,0.951,0.712
"2730","P49207","P62888",6,2,"RPL34","RPL30","rich",0.81,0.951,0.592
"2731","P49207","Q8NC51",1,1,"RPL34","SERBP1","poor",0.771,0.749,0.327
"2732","P49327","Q13813",1,1,"FASN","SPTAN1","poor",0.732,0.367,0.107
"2733","P49368","P50990",4,2,"CCT3","CCT8","rich",0.796,0.927,1
"2734","P49368","Q9H444",1,1,"CCT3","CHMP4B","poor",0.559,0.52,0.211
"2735","P49454","P53367",1,1,"CENPF","ARFIP1","poor",0.467,0.628,0.201
"2736","P49454","P61254",1,1,"CENPF","RPL26","poor",0.619,0.56,0.238
"2737","P49454","Q9UNX3",1,1,"CENPF","RPL26L1","poor",0.345,0.592,0.176
"2738","P49458","Q92522",1,1,"SRP9","H1-10","poor",0.322,0.63,0.16
"2739","P49589","Q14789",1,1,"CARS1","GOLGB1","poor",0.655,0.632,0.36
"2740","P49748","Q4V328",1,1,"ACADVL","GRIPAP1","poor",0.498,0.545,0.177
"2741","P49754","Q9Y3U8",1,1,"VPS41","RPL36","poor",0.552,0.245,0.084
"2742","P49756","P99999",1,1,"RBM25","CYCS","poor",0.633,0.557,0.21
"2743","P49917","P68431",1,1,"LIG4","H3C1","poor",0.652,0.55,0.243
"2744","P49917","P84243",1,1,"LIG4","H3-3A","poor",0.74,0.468,0.174
"2745","P49917","Q15366",1,1,"LIG4","PCBP2","poor",0.567,0.581,0.262
"2746","P49917","Q16695",1,1,"LIG4","H3-4","poor",0.765,0.54,0.163
"2747","P49917","Q5TEC6",1,1,"LIG4","H3-7","poor",0.723,0.446,0
"2748","P49917","Q6NXT2",1,1,"LIG4","H3-5","poor",0.738,0.461,0.433
"2749","P49917","Q71DI3",1,1,"LIG4","H3C15","poor",0.663,0.54,0.163
"2750","P50570","Q58FF3",1,1,"DNM2","HSP90B2P","poor",0.48,0.562,0.357
"2751","P50748","P62314",2,1,"KNTC1","SNRPD1","poor",0.628,0.725,0.232
"2752","P50914","Q01813",1,1,"RPL14","PFKP","poor",0.805,0.539,0.154
"2753","P50914","Q05639",2,2,"RPL14","EEF1A2","poor",0.603,0.588,0.52
"2754","P50914","Q14241",4,1,"RPL14","ELOA","poor",0.45,1,0.375
"2755","P50914","Q15181",1,1,"RPL14","PPA1","poor",0.784,0.2,0.174
"2756","P50914","Q5JSZ5",7,2,"RPL14","PRRC2B","poor",0,0.814,0.186
"2757","P50914","Q6NVV1",9,3,"RPL14","RPL13AP3","rich",0.447,1,1
"2758","P50914","Q9UIF9",1,1,"RPL14","BAZ2A","poor",0.517,0.669,0.37
"2759","P50914","Q9UQB8",2,2,"RPL14","BAIAP2","poor",0.578,0.648,0.117
"2760","P50990","Q99832",8,4,"CCT8","CCT7","rich",0.748,0.974,1
"2761","P50991","P52209",1,1,"CCT4","PGD","poor",0.633,0.252,0.105
"2762","P50991","P78371",30,8,"CCT4","CCT2","rich",0.829,0.921,0.95
"2763","P50991","Q8WZ42",1,1,"CCT4","TTN","poor",0.623,0.547,0.183
"2764","P50991","Q9Y281",1,1,"CCT4","CFL2","poor",0.635,0.471,0.199
"2765","P51531","Q01105",1,1,"SMARCA2","SET","poor",0.714,0.585,0.379
"2766","P51532","Q9NQ39",1,1,"SMARCA4","RPS10P5","poor",0.423,0.301,0
"2767","P51572","Q0ZGT2",2,1,"BCAP31","NEXN","poor",0.457,0.473,0.128
"2768","P51572","Q14185",1,1,"BCAP31","DOCK1","poor",0.589,0.574,0.345
"2769","P51572","Q14683",1,1,"BCAP31","SMC1A","poor",0.565,0.571,0.218
"2770","P51572","Q96NB3",2,1,"BCAP31","ZNF830","poor",0.491,0.628,0.233
"2771","P51572","Q9UHQ4",3,1,"BCAP31","BCAP29","poor",0.651,0,0.503
"2772","P51572","Q9UNX4",2,1,"BCAP31","WDR3","poor",0.437,0.285,0.087
"2773","P51659","Q32MZ4",2,1,"HSD17B4","LRRFIP1","poor",0.675,0.27,0.138
"2774","P51665","P55036",2,1,"PSMD7","PSMD4","poor",0.791,0.685,1
"2775","P51665","P62333",3,1,"PSMD7","PSMC6","poor",0.865,0.514,1
"2776","P51665","Q9UNM6",2,2,"PSMD7","PSMD13","poor",0.966,0.306,1
"2777","P51825","P57053",1,1,"AFF1","H2BC12L","poor",0.546,0.657,0.049
"2778","P51825","P62807",1,1,"AFF1","H2BC4","poor",0.507,1,0.049
"2779","P51825","P68431",3,2,"AFF1","H3C1","poor",0.482,1,0.893
"2780","P51825","P84243",2,1,"AFF1","H3-3A","poor",0.486,1,0.133
"2781","P51825","Q02539",1,1,"AFF1","H1-1","poor",0.497,1,0.29
"2782","P51825","Q16695",3,2,"AFF1","H3-4","poor",0.55,1,0.054
"2783","P51825","Q16778",1,1,"AFF1","H2BC21","poor",0.507,1,0.049
"2784","P51825","Q5TEC6",3,2,"AFF1","H3-7","poor",0.67,0.657,0
"2785","P51825","Q6FI13",1,1,"AFF1","H2AC18","poor",0.461,1,0.211
"2786","P51825","Q6NXT2",2,1,"AFF1","H3-5","poor",0.603,1,0.133
"2787","P51825","Q71DI3",3,2,"AFF1","H3C15","poor",0.544,1,0.054
"2788","P51825","Q7L7L0",1,1,"AFF1","H2AW","poor",0,0,0
"2789","P51825","Q93077",1,1,"AFF1","H2AC6","poor",0.597,1,0.168
"2790","P51825","Q96KK5",1,1,"AFF1","H2AC12","poor",0.461,0.657,0.211
"2791","P51825","Q99878",1,1,"AFF1","H2AC14","poor",0,0,0
"2792","P51858","Q13576",1,1,"HDGF","IQGAP2","poor",0.516,0.254,0.424
"2793","P51991","P57053",1,1,"HNRNPA3","H2BC12L","poor",0.637,0.573,0.028
"2794","P51991","P62081",1,1,"HNRNPA3","RPS7","poor",0.616,0.765,0.423
"2795","P51991","P68431",1,1,"HNRNPA3","H3C1","poor",0.658,0.68,0.392
"2796","P51991","P84243",1,1,"HNRNPA3","H3-3A","poor",0.667,0.53,0.065
"2797","P51991","Q13185",1,1,"HNRNPA3","CBX3","poor",0.573,0.668,0.215
"2798","P51991","Q15181",1,1,"HNRNPA3","PPA1","poor",0.326,0.202,0.178
"2799","P51991","Q16695",1,1,"HNRNPA3","H3-4","poor",0.646,0.683,0.068
"2800","P51991","Q5TEC6",1,1,"HNRNPA3","H3-7","poor",0.733,0.573,0
"2801","P51991","Q6NXT2",1,1,"HNRNPA3","H3-5","poor",0.689,0.576,0.065
"2802","P51991","Q6Y7W6",3,2,"HNRNPA3","GIGYF2","poor",0.463,0.812,0.205
"2803","P51991","Q71DI3",1,1,"HNRNPA3","H3C15","poor",0.635,0.683,0.068
"2804","P51991","Q71RC2",1,1,"HNRNPA3","LARP4","poor",0.326,0.952,0.26
"2805","P52272","P78527",1,1,"HNRNPM","PRKDC","poor",0.64,0.608,0.118
"2806","P52272","Q7LBC6",1,1,"HNRNPM","KDM3B","poor",0.62,0.318,0.171
"2807","P52292","Q86XP3",2,1,"KPNA2","DDX42","poor",0.798,0.563,0.259
"2808","P52294","Q02880",1,1,"KPNA1","TOP2B","poor",0.682,0.441,0.21
"2809","P52565","Q14764",1,1,"ARHGDIA","MVP","poor",0.768,0.596,0.316
"2810","P52565","Q7Z6E9",1,1,"ARHGDIA","RBBP6","poor",0.654,0.406,0.143
"2811","P52789","Q08AM6",1,1,"HK2","VAC14","poor",0.651,0.424,0.229
"2812","P52948","Q12769",2,1,"NUP98","NUP160","poor",0.839,0.564,0.391
"2813","P52948","Q9Y230",2,1,"NUP98","RUVBL2","poor",0.701,0.497,0.389
"2814","P53367","Q9Y2X3",1,1,"ARFIP1","NOP58","poor",0.382,0.58,0.111
"2815","P53396","P84101",1,1,"ACLY","SERF2","poor",0.579,0.467,0.079
"2816","P53618","P53621",3,2,"COPB1","COPA","poor",0.785,0.895,0.788
"2817","P53618","P61923",7,3,"COPB1","COPZ1","poor",0.781,0,0.886
"2818","P53675","P60174",1,1,"CLTCL1","TPI1","poor",0.57,0.561,0.084
"2819","P53675","Q9UQE7",4,1,"CLTCL1","SMC3","poor",0.519,0.49,0.364
"2820","P53985","Q58FF7",1,1,"SLC16A1","HSP90AB3P","poor",0.639,0.352,0.224
"2821","P53985","Q5VTR2",1,1,"SLC16A1","RNF20","poor",0.37,0.429,0.145
"2822","P53985","Q6S8J3",1,1,"SLC16A1","POTEE","poor",0.667,0.31,0.157
"2823","P54578","Q9UQ80",1,1,"USP14","PA2G4","poor",0.636,0.379,0.221
"2824","P54652","Q58FF3",1,1,"HSPA2","HSP90B2P","poor",0.428,0.759,0.788
"2825","P54652","Q58FF7",1,1,"HSPA2","HSP90AB3P","poor",0.667,0.815,0.358
"2826","P54652","Q92598",7,2,"HSPA2","HSPH1","rich",0.721,0.721,0.438
"2827","P55011","Q14241",1,1,"SLC12A2","ELOA","poor",0.365,1,0.044
"2828","P55039","P62750",1,1,"DRG2","RPL23A","poor",0.771,0.621,0.631
